TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COLUMN_DEFAULT,IS_IDENTITY
dbo,ManagerRolePermission,Pet_Rights_Management,7,YES,bit,NULL,NULL,NULL,NULL,0
dbo,ManagerRolePermission,customer_service,8,YES,bit,NULL,NULL,NULL,NULL,0
dbo,MemberSalesProfile,User_Id,1,NO,int,NULL,10,0,NULL,0
dbo,MemberSalesProfile,BankCode,2,YES,int,NULL,10,0,NULL,0
dbo,MemberSalesProfile,BankAccountNumber,3,YES,varchar,30,NULL,NULL,NULL,0
dbo,MemberSalesProfile,AccountCoverPhoto,4,YES,varbinary,-1,NULL,NULL,NULL,0
dbo,metric_sources,source_id,1,NO,int,NULL,10,0,NULL,1
dbo,metric_sources,name,2,YES,nvarchar,50,NULL,NULL,NULL,0
dbo,metric_sources,note,3,YES,nvarchar,50,NULL,NULL,NULL,0
dbo,metric_sources,created_at,4,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,metrics,metric_id,1,NO,int,NULL,10,0,NULL,1
dbo,metrics,source_id,2,YES,int,NULL,10,0,NULL,0
dbo,metrics,code,3,YES,varchar,50,NULL,NULL,NULL,0
dbo,metrics,unit,4,YES,varchar,30,NULL,NULL,NULL,0
dbo,metrics,description,5,YES,nvarchar,50,NULL,NULL,NULL,0
dbo,metrics,is_active,6,YES,bit,NULL,NULL,NULL,NULL,0
dbo,metrics,created_at,7,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,MiniGame,PlayID,1,NO,int,NULL,10,0,NULL,1
dbo,MiniGame,UserID,2,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,PetID,3,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,Level,4,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,MonsterCount,5,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,SpeedMultiplier,6,NO,decimal,NULL,5,2,NULL,0
dbo,MiniGame,Result,7,NO,nvarchar,20,NULL,NULL,NULL,0
dbo,MiniGame,ExpGained,8,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,ExpGainedTime,9,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,MiniGame,PointsGained,10,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,PointsGainedTime,11,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,MiniGame,CouponGained,12,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,MiniGame,CouponGainedTime,13,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,MiniGame,HungerDelta,14,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,MoodDelta,15,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,StaminaDelta,16,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,CleanlinessDelta,17,NO,int,NULL,10,0,NULL,0
dbo,MiniGame,StartTime,18,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,MiniGame,EndTime,19,YES,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,MiniGame,Aborted,20,NO,bit,NULL,NULL,NULL,NULL,0
dbo,MiniGame,IsDeleted,21,NO,bit,NULL,NULL,NULL,((0)),0
dbo,MiniGame,DeletedAt,22,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,MiniGame,DeletedBy,23,YES,int,NULL,10,0,NULL,0
dbo,MiniGame,DeleteReason,24,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,Mutes,mute_id,1,NO,int,NULL,10,0,NULL,1
dbo,Mutes,word,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,Mutes,replacement,3,YES,nvarchar,50,NULL,NULL,NULL,0
dbo,Mutes,is_active,4,NO,bit,NULL,NULL,NULL,((1)),0
dbo,Mutes,manager_id,5,YES,int,NULL,10,0,NULL,0
dbo,Mutes,created_at,6,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Notification_Actions,action_id,1,NO,int,NULL,10,0,NULL,1
dbo,Notification_Actions,action_name,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,Notification_Actions,created_at,3,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Notification_Recipients,recipient_id,1,NO,int,NULL,10,0,NULL,1
dbo,Notification_Recipients,notification_id,2,NO,int,NULL,10,0,NULL,0
dbo,Notification_Recipients,user_id,3,YES,int,NULL,10,0,NULL,0
dbo,Notification_Recipients,manager_id,4,YES,int,NULL,10,0,NULL,0
dbo,Notification_Recipients,read_at,5,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,Notification_Sources,source_id,1,NO,int,NULL,10,0,NULL,1
dbo,Notification_Sources,source_name,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,Notification_Sources,created_at,3,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Notifications,notification_id,1,NO,int,NULL,10,0,NULL,1
